Linie;C;M;Y;K;C_K;M_K;Y_K;K_K;Hexadezimal;Hexadezimal_K
1;0;50;30;0;0;0;0;0;#f39b9a;#ffffff
2;0;100;40;30;0;0;0;0;#b00346;#ffffff
3;20;30;100;0;0;0;0;0;#d6ad00;#ffffff
4;0;100;100;0;0;0;0;0;#e30613;#ffffff
4A;0;100;100;0;0;0;0;0;#e30613;#ffffff
5;100;0;80;0;0;0;0;0;#00975f;#ffffff
5A;100;0;80;0;0;0;0;0;#00975f;#ffffff
6;50;60;100;0;0;0;0;0;#956c29;#ffffff
6A;50;60;100;0;0;0;0;0;#956c29;#ffffff
7;0;20;100;0;0;0;0;0;#ffcc00;#ffffff
8;0;60;100;8;0;0;0;0;#e17600;#ffffff
9;0;16;0;61;21;0;0;0;#a9c94f;#ffffff
10;40;100;0;0;0;0;0;0;#a71680;#ffffff
15;0;40;65;0;0;0;0;0;#e3b674;#ffffff
40;87;100;0;0;0;0;0;0;#4e2583;#ffffff
41;50;0;0;0;0;0;0;0;#82d0f5;#ffffff
42;30;0;0;20;0;0;0;0;#a1c3d6;#ffffff
43;70;30;0;0;0;0;0;0;#589bd4;#ffffff
44;100;0;50;0;0;0;0;0;#009a93;#ffffff
45;100;50;0;0;0;0;0;0;#0069b4;#ffffff
46;40;40;20;0;0;0;0;0;#a89bb1;#ffffff
47;50;0;0;0;0;0;0;0;#82d0f5;#ffffff
48;100;0;0;0;0;0;0;0;#009fe3;#ffffff
49;100;0;100;0;0;0;0;0;#009640;#ffffff
50;16;0;40;20;0;0;0;0;#abcc7b;#ffffff
51;100;50;0;0;0;0;0;0;#0069b4;#ffffff
52;40;40;20;0;0;0;0;0;#a89bb1;#ffffff
53;70;0;0;0;0;0;0;0;#10bbef;#ffffff
54;35;40;0;0;0;0;0;0;#b2a0cd;#ffffff
55;87;100;0;0;0;0;0;0;#4e2583;#ffffff
56;70;0;0;0;0;0;0;0;#10bbef;#ffffff
57;60;0;0;0;0;0;0;0;#5bc5f2;#ffffff
58;30;0;0;20;0;0;0;0;#a1c3d6;#ffffff
59;40;40;20;0;0;0;0;0;#a89bb1;#ffffff
60;87;100;0;0;0;0;0;0;#4e2583;#ffffff
61;70;30;0;0;0;0;0;0;#4b96d2;#ffffff
62;40;40;20;0;0;0;0;0;#a89bb1;#ffffff
63;30;0;0;20;0;0;0;0;#a1c3d6;#ffffff
64;100;0;31;10;0;0;0;0;#0091a6;#ffffff
70;70;30;0;0;0;0;0;0;#4b96d2;#ffffff
71;40;40;20;0;0;0;0;0;#a89bb1;#ffffff
72;100;50;0;0;0;0;0;0;#0069b4;#ffffff
73;50;5;30;0;0;0;0;0;#8bc5bd;#ffffff
74;100;50;0;0;0;0;0;0;#82d0f5;#ffffff
75;100;0;50;10;0;0;0;0;#008f88;#ffffff
76;87;100;0;0;0;0;0;0;#4e2583;#ffffff
77;27;50;7;0;0;0;0;0;#c290b8;#ffffff
78;70;30;0;0;0;0;0;0;#4b96d2;#ffffff
84;55;100;15;0;0;0;0;0;#8d2176;#ffffff
85;100;50;0;0;0;0;0;0;#0069b4;#ffffff
86;50;0;0;0;0;0;0;0;#82d0f5;#ffffff
87;70;70;20;0;0;0;0;0;#69598f;#ffffff
88;50;5;30;0;0;0;0;0;#8bc5bd;#ffffff
90;55;0;100;0;0;0;0;0;#86bc25;#ffffff
94;50;0;0;0;0;0;0;0;#83d0f5;#ffffff
96;20;70;100;8;0;0;0;0;#c05d18;#ffffff
97;0;0;100;0;0;0;0;100;#ffed00;#000000
E;0;0;0;50;0;0;0;0;#9d9d9c;#ffffff
X;0;0;0;65;0;0;0;0;#7c7c7b;#ffffff
